timestamp,1,2,3
0.50,0.0884,-0.0078,0.0766
1.00,0.1344,-0.0028,0.1041
1.50,0.1462,0.0000,0.2177
2.00,0.1741,0.0000,0.2256
2.50,0.2202,0.0138,0.1942
3.00,0.2547,0.0138,0.1707
3.50,0.2804,0.0252,0.1707
4.00,0.3015,0.0754,0.1707
4.50,0.3118,0.0922,0.1628
5.00,0.3273,0.0922,0.1550
5.50,0.3491,0.0922,0.1550
6.00,0.3510,0.0922,0.1373
6.50,0.3510,0.0922,0.1315
7.00,0.3458,0.0922,0.1707
7.50,0.3491,0.0922,0.1942
8.00,0.3432,0.0922,0.2364
8.50,0.3471,0.0922,0.2256
9.00,0.3478,0.0922,0.2256
9.50,0.3510,0.0922,0.2059
10.00,0.3412,0.0922,0.2569
10.50,0.3510,0.0946,0.2452
11.00,0.3854,0.1123,0.2177
11.50,0.3903,0.1158,0.2177
12.00,0.3903,0.1158,0.2059
12.50,0.3903,0.1158,0.1628
13.00,0.3903,0.1158,0.1158
13.50,0.4035,0.1146,0.1314
14.00,0.4131,0.1158,0.1942
14.50,0.4109,0.1174,0.1883
15.00,0.4138,0.1315,0.1942
15.50,0.4138,0.1231,0.1628
16.00,0.4131,0.1158,0.1432
16.50,0.4138,0.1158,0.1602
17.00,0.4138,0.1189,0.2569
17.50,0.4138,0.1315,0.2393
18.00,0.4138,0.1315,0.2177
18.50,0.4131,0.1315,0.2177
19.00,0.4123,0.1315,0.2177
19.50,0.4138,0.1315,0.2177
20.00,0.4138,0.1315,0.2177
20.50,0.4138,0.1315,0.2177
21.00,0.4138,0.1315,0.1942
21.50,0.4138,0.1315,0.1971
22.00,0.4138,0.1315,0.1942
22.50,0.4131,0.1315,0.1942
23.00,0.4138,0.1315,0.1942
23.50,0.4197,0.0931,0.1942
24.00,0.4358,0.0759,0.1942
24.50,0.4373,0.0748,0.1942
25.00,0.4360,0.0761,0.1942
25.50,0.4451,0.0766,0.1942
26.00,0.4530,0.0754,0.1942
26.50,0.4530,0.0760,0.1942
27.00,0.4530,0.0766,0.1883
27.50,0.4530,0.0766,0.1942
28.00,0.4510,0.0766,0.1883
28.50,0.4344,0.0766,0.1942
29.00,0.4138,0.0754,0.1942
29.50,0.4016,0.0748,0.1942
30.00,0.3746,0.0780,0.1942
30.50,0.4537,0.1001,0.1942
31.00,0.4758,0.1134,0.1942
31.50,0.4750,0.1158,0.1942
32.00,0.4513,0.1158,0.1602
32.50,0.4373,0.1146,0.1432
33.00,0.4373,0.1152,0.1583
33.50,0.3974,0.1140,0.2177
34.00,0.4079,0.1158,0.2059
34.50,0.4138,0.1153,0.1942
35.00,0.4314,0.1158,0.1602
35.50,0.4373,0.1158,0.1707
36.00,0.4373,0.1158,0.1491
36.50,0.4366,0.1158,0.1655
37.00,0.4358,0.1158,0.1942
37.50,0.4373,0.1146,0.2001
38.00,0.4351,0.1158,0.2619
38.50,0.4278,0.1158,0.2726
39.00,0.4182,0.1158,0.2569
39.50,0.4138,0.1146,0.2569
40.00,0.4138,0.1140,0.2510
40.50,0.3890,0.1158,0.2569
