Time,value
0,-0.0445
500,-0.0442
1000,-0.0446
1500,-0.0446
2000,-0.0437
2500,-0.0429
3000,-0.0423
3500,-0.0417
4000,-0.0417
4500,-0.0417
5000,-0.0427
5500,-0.0436
6000,-0.0436
6500,-0.0417
7000,-0.0393
7500,-0.0361
8000,-0.0333
8500,-0.0265
9000,-0.0192
9500,-0.0114
10000,-0.0027
10500,0.0059
11000,0.0153
11500,0.0251
12000,0.0359
12500,0.0481
13000,0.0599
13500,0.0708
14000,0.0801
14500,0.0898
15000,0.0981
15500,0.1066
16000,0.1114
16500,0.1161
17000,0.1209
17500,0.1247
18000,0.1283
18500,0.1316
19000,0.1347
19500,0.1367
20000,0.1376
20500,0.1367
21000,0.1349
21500,0.1335
22000,0.1317
22500,0.1309
23000,0.1304
23500,0.1301
24000,0.1299
24500,0.1313
25000,0.1333
25500,0.1352
26000,0.1363
26500,0.1371
27000,0.1378
27500,0.1387
28000,0.142
28500,0.147
29000,0.1527
29500,0.158
30000,0.1629
30500,0.167
31000,0.1711
31500,0.1745
32000,0.1765
32500,0.1785
33000,0.1803
33500,0.183
34000,0.186
34500,0.1888
35000,0.1918
35500,0.1949
36000,0.1987
36500,0.2027
37000,0.2072
37500,0.2125
38000,0.2163
38500,0.2191
39000,0.2222
39500,0.2254
40000,0.2275
40500,0.2293
41000,0.2302
41500,0.2309
42000,0.2323
42500,0.2333
43000,0.2327
43500,0.2303
44000,0.2269
44500,0.2229
45000,0.218
45500,0.2137
46000,0.2102
46500,0.2061
47000,0.2015
47500,0.1975
48000,0.1939
48500,0.1902
49000,0.1853
49500,0.1793
50000,0.173
50500,0.1692
51000,0.1659
51500,0.1629
52000,0.1606
52500,0.1597
53000,0.1596
53500,0.1599
54000,0.1617
54500,0.1636
55000,0.1655
55500,0.1675
56000,0.1694
56500,0.1721
57000,0.1755
57500,0.1788
58000,0.1801
58500,0.1806
59000,0.1807
59500,0.1801
60000,0.1792
60500,0.1777
61000,0.1759
61500,0.1735
62000,0.1709
62500,0.1677
63000,0.1644
63500,0.1614
64000,0.1589
64500,0.1559
65000,0.1526
65500,0.1493
66000,0.1466
66500,0.1443
67000,0.1426
67500,0.1406
68000,0.139
68500,0.1376
69000,0.136
69500,0.1338
70000,0.1333
70500,0.1339
71000,0.1342
71500,0.1337
72000,0.1339
72500,0.1345
73000,0.1351
73500,0.1357
74000,0.1368
74500,0.137
75000,0.1365
75500,0.1361
76000,0.1356
76500,0.135
77000,0.1352
77500,0.1344
78000,0.1324
78500,0.1301
79000,0.1285
79500,0.1265
80000,0.127
80500,0.1275
81000,0.1281
81500,0.1249
82000,0.1223
82500,0.1203
83000,0.1185
83500,0.1157
84000,0.1153
84500,0.1163
85000,0.1189
85500,0.1219
86000,0.1239
86500,0.127
87000,0.1303
87500,0.1307
88000,0.1307
88500,0.1308
89000,0.1341
89500,0.1377
90000,0.1415
90500,0.1449
91000,0.1491
91500,0.1508
92000,0.1511
92500,0.1491
93000,0.1461
93500,0.1455
94000,0.1432
94500,0.1417
95000,0.1404
95500,0.1396
96000,0.1389
96500,0.1385
97000,0.1379
97500,0.1355
98000,0.1334
98500,0.1315
99000,0.1295
99500,0.1265
100000,0.1243
100500,0.1228
101000,0.1205
101500,0.1185
102000,0.1166
102500,0.1143
103000,0.1122
103500,0.1107
104000,0.1093
104500,0.1084
105000,0.1094
105500,0.1093
106000,0.1061
106500,0.1031
107000,0.1014
107500,0.103
108000,0.1046
108500,0.1062
109000,0.1079
109500,0.1089
110000,0.1071
110500,0.1054
111000,0.1037
111500,0.1032
112000,0.1025
112500,0.1011
113000,0.0997
113500,0.1015
114000,0.1033
114500,0.1047
115000,0.1027
115500,0.1009
116000,0.1018
116500,0.0996
117000,0.0975
117500,0.1006
118000,0.1045
118500,0.1058
119000,0.1064
119500,0.1076
120000,0.1091
120500,0.113
121000,0.1177
121500,0.1234
122000,0.1303
122500,0.1383
123000,0.1461
123500,0.1519
124000,0.1609
124500,0.1705
125000,0.1782
125500,0.1855
126000,0.1952
126500,0.2036
127000,0.2119
127500,0.221
128000,0.2275
128500,0.2319
129000,0.2341
129500,0.2345
130000,0.2323
130500,0.2289
131000,0.2241
131500,0.2183
132000,0.2117
132500,0.205
133000,0.1982
133500,0.1898
134000,0.181
134500,0.1723
135000,0.1649
135500,0.1585
136000,0.1525
136500,0.1479
137000,0.1459
137500,0.148
138000,0.1536
138500,0.1618
139000,0.1741
139500,0.1882
140000,0.2024
140500,0.2166
141000,0.2305
141500,0.2439
142000,0.2591
142500,0.2731
143000,0.2875
143500,0.3032
144000,0.3188
144500,0.3325
145000,0.3433
145500,0.3517
146000,0.3583
146500,0.361
147000,0.3607
147500,0.3576
148000,0.3535
148500,0.3505
149000,0.346
149500,0.3383
150000,0.33
150500,0.3209
151000,0.3085
151500,0.295
152000,0.2799
152500,0.2628
153000,0.2451
153500,0.2274
154000,0.2103
154500,0.1935
155000,0.1782
155500,0.1607
156000,0.1418
156500,0.1251
157000,0.109
157500,0.0911
158000,0.0731
158500,0.0565
159000,0.0401
159500,0.0257
160000,0.0133
160500,0.0019
161000,-0.0099
161500,-0.0234
162000,-0.0357
162500,-0.0463
163000,-0.0535
163500,-0.0607
164000,-0.0678
164500,-0.0749
165000,-0.0799
165500,-0.0845
166000,-0.0876
166500,-0.0901
167000,-0.0927
167500,-0.0952
168000,-0.0979
168500,-0.1005
169000,-0.1011
169500,-0.1034
170000,-0.1073
170500,-0.1114
171000,-0.1133
171500,-0.1144
172000,-0.1155
172500,-0.116
173000,-0.1163
173500,-0.1167
174000,-0.1175
174500,-0.1185
175000,-0.1203
175500,-0.1233
176000,-0.1266
176500,-0.1293
177000,-0.1299
177500,-0.1297
178000,-0.1302
178500,-0.13
179000,-0.1304
179500,-0.1304
180000,-0.1319
180500,-0.1317
181000,-0.1315
181500,-0.1317
182000,-0.1329
182500,-0.1354
183000,-0.1365
183500,-0.1371
184000,-0.1377
184500,-0.1382
185000,-0.1381
185500,-0.1379
186000,-0.1386
186500,-0.1403
187000,-0.1424
187500,-0.144
188000,-0.1475
188500,-0.1507
189000,-0.1524
189500,-0.1503
190000,-0.1455
190500,-0.1411
191000,-0.1377
191500,-0.1347
